Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
193,K6TVI,441.40000,+,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Meadow Lakes",
194,WD6GGW,441.40000,+,5.00000,Tone,114.8,88.5,023,NN,FM,5,"Redwood City",
195,N6GJM,441.42500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Kelseyville",
196,KF6CLR,441.42500,+,5.00000,Tone,74.4,88.5,023,NN,FM,5,"Mariposa",
197,W6MTF,441.42500,+,5.00000,Tone,156.7,156.7,023,NN,FM,5,"Oakland",
198,KJ6KO,441.45000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Sacramento",
199,K6JE,441.45000,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Salinas, Fremont Pk",
200,W6EE,441.45000,+,5.00000,Tone,85.4,88.5,023,NN,FM,5,"San Francisco",
201,KM6HJA,441.45000,+,5.00000,Tone,162.2,100.0,023,NN,FM,5,"San Lorenzo",
202,W6YOP,441.47500,+,5.00000,Tone,127.3,127.3,023,NN,FM,5,"Oakland",
203,W6YOP,441.47500,+,5.00000,Tone,114.8,114.8,023,NN,FM,5,"Oroville",
204,WB6PHE,441.47500,+,5.00000,Tone,110.9,88.5,023,NN,FM,5,"Sonora",
205,K6AIR,441.52500,+,5.00000,Tone,123.0,123.0,023,NN,FM,5,"Los Altos Hills ",
206,K6ARC,441.52500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Pine Grove, Mount Zion",
207,WC6HP,441.52500,+,5.00000,Tone,67.0,88.5,023,NN,FM,5,"Porterville",
208,N6LZR,441.55000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Alpine",
209,W6VB,441.55000,+,5.00000,,88.5,88.5,023,NN,FM,5,"Cupertino",
210,K6RDJ,441.55000,+,5.00000,Tone,77.0,77.0,023,NN,FM,5,"Mariposa, Mt Bullion",
211,K6IRC,441.57500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Georgetown",
212,K6IRC,441.57500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Palo Alto",
213,W6RCA,441.60000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Vacaville",
214,W6TCP,441.61250,+,5.00000,,88.5,88.5,23,NN,DIG,5,"Livermore",
215,W6CBS,441.61250,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"San Carlos",
216,W6RCA,441.62500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Los Gatos",
217,W6RCA,441.62500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Placerville",
218,W6RCA,441.62500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Quincy",
219,KD6FVA,441.65000,+,5.00000,Tone,156.7,156.7,023,NN,FM,5,"Copperopolis",
220,N6SPD,441.65000,+,5.00000,Tone,156.7,156.7,023,NN,FM,5,"King City, Williams Hill",
221,N6SPD,441.65000,+,5.00000,Tone,123.0,123.0,023,NN,FM,5,"Monterey",
222,K6JSI,441.65000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Santa Rosa, Richmond Heights",
223,K6JSI,441.67500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Coalinga, Santa Rita Peak",
224,WA7G,441.67500,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Napa, Sugarloaf",
225,N7WG,441.67500,+,5.00000,Tone,123.0,88.5,023,NN,FM,5,"Santa Cruz",
226,K6UB,441.70000,+,5.00000,Tone,127.3,88.5,023,NN,FM,5,"Los Gatos",
227,W6ALL,441.70000,+,5.00000,,88.5,88.5,023,NN,FM,5,"San Andreas",
228,KD6GIY,441.72500,+,5.00000,Tone,162.2,88.5,023,NN,FM,5,"Arnold",
229,AG6AU,441.72500,+,5.00000,Tone,82.5,88.5,023,NN,FM,5,"Lotus, Bakers Mountain",
230,K6HN,441.72500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Pacifica",
231,WA6QDP,441.72500,+,5.00000,,88.5,88.5,023,NN,FM,5,"San Jose",
232,W6YOP,441.75000,+,5.00000,Tone,127.3,127.3,023,NN,FM,5,"Concord",
233,AK6U,441.75000,+,5.00000,Tone,100.0,88.5,023,NN,Auto,5,"Cottonwood",
234,K1BMW,441.75000,+,5.00000,Tone,123.0,123.0,023,NN,FM,5,"Truckee",
235,,441.77500,+,5.00000,Tone,123.0,123.0,023,NN,FM,5,"Giroy, Mt. Madonna",
236,N6ICW,441.77500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Sacramento",
237,N6ICW,441.77500,+,5.00000,,88.5,88.5,023,NN,FM,5,"Vacaville,  Mt Vaca",
238,N6LYE,441.80000,+,5.00000,Tone,141.3,88.5,23,NN,P25,5,"Fresno",
239,W6CO,441.80000,+,5.00000,Tone,151.4,88.5,023,NN,FM,5,"Napa",
