Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
155,N6ZX,145.37000,-,0.60000,Tone,107.2,107.2,023,NN,Auto,5,"Woodside",
156,W6RDF,145.38000,-,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Coronado,  Point Loma",
157,W6DRA,145.38000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Desert Center, Chuckwalla Mountains",
158,K6SRT,145.38000,-,0.60000,Tone,151.4,88.5,023,NN,FM,5,"Littlerock",
159,WA6LA,145.38000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Rancho Palos Verdes",
160,KI6PNB,145.39000,-,0.60000,Tone,110.9,88.5,023,NN,FM,5,"Los Molinos",
161,AC6VJ,145.39000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Middletown",
162,WD6EJF,145.39000,-,0.60000,Tone,136.5,88.5,023,NN,FM,5,"Modesto,  Mt Oso",
163,WW6BAY,145.39000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Palo Alto, Black Mountain",
164,N6ME,145.40000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Fullerton",
165,N6FL,145.40000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Ojai, Black Mountain",
166,KI6ITV,145.40000,-,0.60000,Tone,146.2,88.5,023,NN,FM,5,"Wildomar",
167,W6LI,145.41000,-,0.60000,Tone,103.5,88.5,023,NN,FM,5,"Bakersfield,  Shirley Peak",
168,N6SBC,145.41000,-,0.60000,Tone,118.8,118.8,023,NN,FM,5,"Paicines",
169,W6CER,145.41000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Salinas",
170,WA6HAM,145.41000,-,0.60000,Tone,107.2,107.2,023,NN,FM,5,"San Ramon, Highland Peak",
171,N7OD,145.42000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Hemet, Hemet Valley Med Ctr",
172,K6NBR,145.42000,-,0.60000,Tone,136.5,88.5,023,NN,FM,5,"Newport Beach",
173,WW6Y,145.42000,-,0.60000,Tone,136.5,88.5,023,NN,FM,5,"Victorville, Quartzite Mountain",
